Sat Apr 22 2023 21:36:06 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 21:36:08 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 21:36:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 21:36:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Sat Apr 22 2023 21:36:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Sat Apr 22 2023 21:36:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Sat Apr 22 2023 21:36:08 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 21:36:26 GMT-0300 (Horário Padrão de Brasília), POST, /api/users/, undefined 
Sat Apr 22 2023 21:47:27 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 21:47:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 21:47:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Sat Apr 22 2023 21:47:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Sat Apr 22 2023 21:47:27 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Sat Apr 22 2023 21:47:27 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 21:47:31 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Sat Apr 22 2023 21:47:32 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Sat Apr 22 2023 21:47:32 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Sat Apr 22 2023 21:47:32 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Sat Apr 22 2023 21:47:32 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Sat Apr 22 2023 21:47:32 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Sat Apr 22 2023 21:47:45 GMT-0300 (Horário Padrão de Brasília), POST, /api/users/, undefined 
